,1,2,3
0.jpg,0.02714398111723053,303.13022631083203,"(4.780025482177734, 7200)"
1.jpg,0.009426551453260016,326.7123032784893,"(3.7600011825561523, 7200)"
10.jpg,0.044527265594350725,265.7209771179882,"(4.038997173309326, 7200)"
100.jpg,0.02793847890503739,295.1497344814606,"(3.953003168106079, 7200)"
101.jpg,0.02411873840445269,300.49743844847956,"(3.8850016593933105, 7200)"
102.jpg,0.021814006888633754,282.0980153658634,"(3.8119983673095703, 7200)"
103.jpg,0.06859797758950532,244.2665908200456,"(4.099999904632568, 7200)"
104.jpg,0.0855614973262032,266.0919712780631,"(3.709001302719116, 7200)"
105.jpg,0.0873634945397816,272.021451923293,"(4.2649993896484375, 7200)"
106.jpg,0.07876230661040788,263.17854537105427,"(4.023998498916626, 7200)"
107.jpg,0.06769230769230769,264.3871247042142,"(3.7819995880126953, 7200)"
108.jpg,0.02584493041749503,263.5531622733084,"(3.8299999237060547, 7200)"
109.jpg,0.029175050301810865,270.88394373555377,"(3.7859978675842285, 7200)"
11.jpg,0.010907003444316877,319.93739007452734,"(7.028002500534058, 7200)"
110.jpg,0.04950495049504951,260.9370732297992,"(4.3839733600616455, 7200)"
111.jpg,0.041666666666666664,286.31115001287213,"(4.4520018100738525, 7200)"
112.jpg,0.021318523826585452,305.20897144726297,"(3.9959933757781982, 7200)"
113.jpg,0.017167381974248927,304.6216326537562,"(7.401985168457031, 7200)"
114.jpg,0.035175879396984924,279.69585217423173,"(8.267003297805786, 7200)"
115.jpg,0.0601957366939268,251.0527212023016,"(7.876999378204346, 7200)"
116.jpg,0.027785573954532697,278.1116345352314,"(8.368001699447632, 7200)"
117.jpg,0.06158557332425995,262.6309745401783,"(7.860989093780518, 7200)"
12.jpg,0.03916591115140526,268.24497590190373,"(8.290004253387451, 7200)"
13.jpg,0.047851264858274914,276.05537728818587,"(7.934998989105225, 7200)"
14.jpg,0.012807549713515335,322.8730229582496,"(7.367003917694092, 7200)"
15.jpg,0.0074211502782931356,298.5078360322234,"(7.2890098094940186, 7200)"
16.jpg,0.04803688280785247,258.05251460441303,"(7.512995004653931, 7200)"
17.jpg,0.04524979524979525,266.5636861505907,"(6.194995641708374, 7200)"
18.jpg,0.013816925734024179,330.53508650494774,"(3.8250017166137695, 7200)"
19.jpg,0.012358664212463844,307.3215203851537,"(3.834996223449707, 7200)"
2.jpg,0.05767350928641251,271.71405011398,"(3.8379976749420166, 7200)"
20.jpg,0.00510323791647114,343.2273383512009,"(4.417001008987427, 7200)"
21.jpg,0.005706134094151213,337.11883356780936,"(3.890998601913452, 7200)"
22.jpg,0.0037425149700598802,356.4651385518605,"(3.715998649597168, 7200)"
23.jpg,0.05238095238095238,246.15353021167573,"(3.6839988231658936, 7200)"
24.jpg,0.02206461780929866,303.95323672944676,"(3.944000720977783, 7200)"
25.jpg,0.02586206896551724,291.2860977786711,"(3.8420026302337646, 7200)"
26.jpg,0.04652001442481067,275.49424264125776,"(4.227994918823242, 7200)"
27.jpg,0.009202453987730062,300.9959256926929,"(3.661994695663452, 7200)"
28.jpg,0.024922118380062305,294.8095037394966,"(3.626999855041504, 7200)"
29.jpg,0.017857142857142856,309.3801833107358,"(3.7090039253234863, 7200)"
3.jpg,0.02152974504249292,273.34026677074917,"(3.7960031032562256, 7200)"
30.jpg,0.03366074384725748,279.3691046251365,"(3.7959957122802734, 7200)"
31.jpg,0.006896551724137931,318.0016991450869,"(3.477001428604126, 7200)"
32.jpg,0.059585131560629265,276.783504995383,"(3.797985553741455, 7200)"
33.jpg,0.07889908256880734,244.75130969406268,"(3.5260019302368164, 7200)"
34.jpg,0.03841979596266551,285.4725145207896,"(4.027005195617676, 7200)"
35.jpg,0.06709451575262544,264.85493480366335,"(3.8620002269744873, 7200)"
36.jpg,0.02335456475583864,266.5760006428777,"(3.705996513366699, 7200)"
37.jpg,0.02175226586102719,271.13180099441206,"(3.853997230529785, 7200)"
38.jpg,0.0,289.724169921875,"(3.578002691268921, 7200)"
39.jpg,0.024943310657596373,296.28439754909937,"(3.72999906539917, 7200)"
4.jpg,0.029411764705882353,255.07795521027265,"(3.757000684738159, 7200)"
40.jpg,0.03825717321997875,268.8344830098492,"(3.589999198913574, 7200)"
41.jpg,0.018648018648018648,327.1453335635312,"(3.595998764038086, 7200)"
42.jpg,0.02442528735632184,288.32691954470226,"(3.6399998664855957, 7200)"
